tokens,ner_tags,split
SAN FRANCISCO 54 72 .429 14,B-ORG I-ORG O O O O,train
"SATURDAY , AUGUST 24TH SCHEDULE",O O O O O,train
CHICAGO AT ATLANTA,B-ORG O B-LOC,train
ST LOUIS AT HOUSTON,B-ORG I-ORG O B-LOC,train
NEW YORK AT LOS ANGELES,B-ORG I-ORG O B-LOC I-LOC,train
MONTREAL AT SAN FRANCISCO,B-ORG O B-LOC I-LOC,train
CINCINNATI AT FLORIDA,B-ORG O B-LOC,train
PITTSBURGH AT COLORADO,B-ORG O B-LOC,train
PHILADELPHIA AT SAN DIEGO,B-ORG O B-LOC I-LOC,train
BASEBALL - MAJOR LEAGUE RESULTS FRIDAY .,O O B-MISC I-MISC O O O,train
NEW YORK 1996-08-24,B-LOC I-LOC O,train
Results of Major League,O O B-MISC I-MISC,train
Baseball games played on Friday ( home team in CAPS ) :,O O O O O O O O O O O O,train
American League,B-MISC I-MISC,train
BOSTON 6 Seattle 4,B-ORG O B-ORG O,train
Milwaukee 6 CLEVELAND 5 ( 11 innings ),B-ORG O B-ORG O O O O O,train
California 2 BALTIMORE 0,B-ORG O B-ORG O,train
NEW YORK 5 Oakland 3,B-ORG I-ORG O B-ORG O,train
Toronto 4 CHICAGO 2,B-ORG O B-ORG O,train
Detroit 3 KANSAS CITY 2,B-ORG O B-ORG I-ORG O,train
MINNESOTA 9 Texas 2,B-ORG O B-ORG O,train
National League,B-MISC I-MISC,train
Cincinnati 6 FLORIDA 5 ( 1ST GM ),B-ORG O B-ORG O O O O O,train
FLORIDA 8 Cincinnati 3 ( 2ND GM ),B-ORG O B-ORG O O O O O,train
ATLANTA 4 Chicago 3,B-ORG O B-ORG O,train
St Louis 1 HOUSTON 0,B-ORG I-ORG O B-ORG O,train
Pittsburgh 5 COLORADO 3,B-ORG O B-ORG O,train
LOS ANGELES 7 New York 5,B-ORG I-ORG O B-ORG I-ORG O,train
Philadelphia 7 SAN DIEGO 4,B-ORG O B-ORG I-ORG O,train
Montreal 10 SAN FRANCISCO 8,B-ORG O B-ORG I-ORG O,train
SOCCER - PORTUGUESE FIRST DIVISION RESULT .,O O B-MISC O O O O,train
LISBON 1996-08-24,B-LOC O,train
Result of a Portuguese first,O O O B-MISC O,train
division soccer match on Saturday :,O O O O O O,train
Belenenses 2 Boavista 4,B-ORG O B-ORG O,train
SOCCER - DISAPPOINTING AJAX SLUMP 2-0 AT HEERENVEEN .,O O O B-ORG O O O B-LOC O,train
AMSTERDAM 1996-08-24,B-LOC O,train
Dutch champions Ajax Amsterdam faltered in their second league match of the season on Saturday losing 2-0 away at Heerenveen .,B-MISC O B-ORG I-ORG O O O O O O O O O O O O O O O B-ORG O,train
"Ajax , who had a dismal series of pre-season results before beating NAC of Breda in their opening game , had the best of an entertaining first half but failed to break the deadlock .",B-ORG O O O O O O O O O O O B-ORG O B-LOC O O O O O O O O O O O O O O O O O O O O,train
"Eight minutes after the interval , Heerenveen 's Romeo Wouden broke through the Amsterdam defence , left defender John Veldman standing and curled the ball beyond goalkeeper Edwin van der Sar into the Ajax net .",O O O O O O B-ORG O B-PER I-PER O O O B-LOC O O O O B-PER I-PER O O O O O O O B-PER I-PER I-PER I-PER O O B-ORG O O,train
"Ajax , without injured defenders Marcio Santos and Winston Bogarde and strikers Jari Litmanen and Marc Overmars , then stepped up the pace and looked certain to equalise .",B-ORG O O O O B-PER I-PER O B-PER I-PER O O B-PER I-PER O B-PER I-PER O O O O O O O O O O O O,train
"But they left gaps at the back and on 73 minutes Danish striker Jon Dahl Tomasson rushed out of his own half , beat the Ajax defence and lobbed van der Sar .",O O O O O O O O O O O B-MISC O B-PER I-PER I-PER O O O O O O O O O B-ORG O O O B-PER I-PER I-PER O,train
"The defeat means Ajax 's main title contenders PSV Eindhoven , who beat the champions 3-0 in the traditional league curtain-raiser , can go three points clear of their rivals if they beat Groningen on Sunday .",O O O B-ORG O O O O B-ORG I-ORG O O O O O O O O O O O O O O O O O O O O O O O B-ORG O O O,train
SOCCER - BELGIAN FIRST DIVISION RESULTS .,O O B-MISC O O O O,train
BRUSSELS 1996-08-24,B-LOC O,train
Results of Belgian first,O O B-MISC O,train
division matches on Saturday :,O O O O O,train
Standard Liege 3 Molenbeek 0,B-ORG I-ORG O B-ORG O,train
Anderlecht 2 Lokeren 2,B-ORG O B-ORG O,train
Cercle Brugge 2 Mouscron 2,B-ORG I-ORG O B-ORG O,train
Antwerp 1 Lommel 4,B-ORG O B-ORG O,train
Ghent 3 Aalst 2,B-ORG O B-ORG O,train
Lierse 4 Charleroi 0,B-ORG O B-ORG O,train
Sint Truiden 3 Ekeren 1,B-ORG I-ORG O B-ORG O,train
SOCCER - LEADING FRENCH LEAGUE SCORERS .,O O O B-MISC O O O,train
PARIS 1996-08-24,B-LOC O,train
Leading goalscorers in the French,O O O O B-MISC,train
first division after Saturday 's matches :,O O O O O O O,train
"3 - Anto Drobnjak ( Bastia ) , Xavier Gravelaine ( Marseille ) .",O O B-PER I-PER O B-ORG O O B-PER I-PER O B-ORG O O,train
"2 - Miladin Becanovic ( Lille ) , Enzo Scifo ( Monaco ) ,",O O B-PER I-PER O B-ORG O O B-PER I-PER O B-ORG O O,train
"Vladimir Smicer ( Lens ) , Christopher Wreh ( Guingamp ) .",B-PER I-PER O B-ORG O O B-PER I-PER O B-ORG O O,train
SOCCER - FRENCH LEAGUE SUMMARIES .,O O B-MISC O O O,train
PARIS 1996-08-24,B-LOC O,train
Summaries of French first division,O O B-MISC O O,train
matches on Saturday :,O O O O,train
Nantes 0 Lens 1 ( Smicer 52nd ) .,B-ORG O B-ORG O O B-PER O O O,train
Halftime 0-0 .,O O O,train
"Attendance 16,000 .",O O O,train
Nice 1 ( Debbah 39th ) Bastia 1 ( Drobnjak 82nd ) .,B-ORG O O B-PER O O B-ORG O O B-PER O O O,train
1-0 .,O O,train
"6,000 .",O O,train
"Lille 3 ( Boutoille 47th , Becanovic 79th pen , 82nd ) ) Rennes 1",B-ORG O O B-PER O O B-PER O O O O O O B-ORG O,train
( Guivarc'h 60th pen .,O B-PER O O O,train
) 0-0 .,O O O,train
"6,000 .",O O,train
Bordeaux 0 Auxerre 0 .,B-ORG O B-ORG O O,train
"30,000 .",O O,train
"Marseille 1 ( Gravelaine 24th ) Metz 2 ( Traore 65th , Bombarda",B-ORG O O B-PER O O B-ORG O O B-PER O O B-PER,train
69th ) .,O O O,train
1-0 .,O O,train
"20,000 .",O O,train
Strasbourg 1 ( Zitelli 80th ) Le Havre 0 .,B-ORG O O B-PER O O B-ORG I-ORG O O,train
0-0 .,O O,train
"15,000",O,train
Caen 1 ( Bancarel 70th ) Lyon 1 ( Caveglia 89th ) .,B-ORG O O B-PER O O B-ORG O O B-PER O O O,train
0-0 .,O O,train
"9,000 .",O O,train
"Guingamp 2 ( Wreh 15th , 42nd ) Monaco 1 ( Scifo 35th ) .",B-ORG O O B-PER O O O O B-ORG O O B-PER O O O,train
2-1 .,O O,train
"7,000 .",O O,train
Montpellier 0 Cannes 1 ( Charvet 8th ) .,B-ORG O B-ORG O O B-PER O O O,train
0-1 .,O O,train
"10,000 .",O O,train
Played on Friday :,O O O O,train
Nancy 0 Paris St Germain 0 .,B-ORG O B-ORG I-ORG I-ORG O O,train
"15,000 .",O O,train
SOCCER - FRENCH LEAGUE STANDINGS .,O O B-MISC O O O,train
PARIS 1996-08-24,B-LOC O,train
Standings in the French soccer,O O O B-MISC O,train
"league after Saturday 's matches ( tabulate under played , won ,",O O O O O O O O O O O O,train
"drawn , lost , goals for , goals against , points ) :",O O O O O O O O O O O O O,train
Lens 3 3 0 0 6 1 9,B-ORG O O O O O O O,train
Bastia 3 2 1 0 4 1 7,B-ORG O O O O O O O,train
Paris Saint-Germain 3 2 1 0 3 0 7,B-ORG I-ORG O O O O O O O,train
Auxerre 3 2 1 0 3 0 7,B-ORG O O O O O O O,train
Cannes 3 2 1 0 4 2 7,B-ORG O O O O O O O,train
Lille 3 2 0 1 4 3 6,B-ORG O O O O O O O,train
Bordeaux 3 1 2 0 2 1 5,B-ORG O O O O O O O,train
Monaco 3 1 1 1 5 3 4,B-ORG O O O O O O O,train
Marseille 3 1 1 1 5 4 4,B-ORG O O O O O O O,train
Metz 3 1 1 1 3 3 4,B-ORG O O O O O O O,train
Lyon 3 1 1 1 4 4 4,B-ORG O O O O O O O,train
Guingamp 3 1 1 1 2 2 4,B-ORG O O O O O O O,train
Rennes 3 1 0 2 4 6 3,B-ORG O O O O O O O,train
Strasbourg 3 1 0 2 1 3 3,B-ORG O O O O O O O,train
Montpellier 3 0 2 1 1 2 2,B-ORG O O O O O O O,train
Nantes 3 0 1 2 2 5 1,B-ORG O O O O O O O,train
Nancy 3 0 1 2 2 5 1,B-ORG O O O O O O O,train
Nice 3 0 1 2 2 5 1,B-ORG O O O O O O O,train
Le Havre 3 0 1 1 1 3 1,B-ORG I-ORG O O O O O O O,train
Caen 3 0 1 2 1 5 1,B-ORG O O O O O O O,train
SOCCER - FRENCH LEAGUE RESULTS .,O O B-MISC O O O,train
PARIS 1996-08-24,B-LOC O,train
Results of French first division,O O B-MISC O O,train
matches on Saturday :,O O O O,train
Nantes 0 Lens 1,B-ORG O B-ORG O,train
Nice 1 Bastia 1,B-ORG O B-ORG O,train
Lille 3 Rennes 1,B-ORG O B-ORG O,train
Bordeaux 0 Auxerre 0,B-ORG O B-ORG O,train
Marseille 1 Metz 2,B-ORG O B-ORG O,train
Strasbourg 1 Le Havre 0,B-ORG O B-ORG I-ORG O,train
Caen 1 Lyon 1,B-ORG O B-ORG O,train
Guingamp 2 Monaco 1,B-ORG O B-ORG O,train
Montpellier 0 Cannes 1,B-ORG O B-ORG O,train
Played on Friday :,O O O O,train
Nancy 0 Paris St Germain 0,B-ORG O B-ORG I-ORG I-ORG O,train
SOCCER - DUTCH FIRST DIVISION RESULTS / STANDINGS .,O O B-MISC O O O O O O,train
AMSTERDAM 1996-08-24,B-LOC O,train
Result of Dutch first division,O O B-MISC O O,train
soccer match played on Saturday :,O O O O O O,train
Graafschap Doetinchem 3 RKC Waalwijk 2,B-ORG I-ORG O B-ORG I-ORG O,train
Willem II Tilburg 0 Fortuna Sittard 1,B-ORG I-ORG I-ORG O B-ORG I-ORG O,train
NAC Breda 1 Sparta Rotterdam 0,B-ORG I-ORG O B-ORG I-ORG O,train
Heerenveen 2 Ajax Amsterdam 0,B-ORG O B-ORG I-ORG O,train
"Standings ( tabulated under played , won , drawn , lost , goals",O O O O O O O O O O O O O,train
"for , against , points ) :",O O O O O O O,train
Graafschap Doetinchem 2 1 1 0 4 3 4,B-ORG I-ORG O O O O O O O,train
Fortuna Sittard 2 1 1 0 1 0 4,B-ORG I-ORG O O O O O O O,train
PSV Eindhoven 1 1 0 0 4 1 3,B-ORG I-ORG O O O O O O O,train
Twente Enschede 1 1 0 0 3 1 3,B-ORG I-ORG O O O O O O O,train
Vitesse Arnhem 1 1 0 0 2 0 3,B-ORG I-ORG O O O O O O O,train
Heerenveen 2 1 0 1 3 3 3,B-ORG O O O O O O O,train
NAC Breda 2 1 0 1 1 1 3,B-ORG I-ORG O O O O O O O,train
Ajax Amsterdam 2 1 0 1 1 2 3,B-ORG I-ORG O O O O O O O,train
Utrecht 1 0 1 0 2 2 1,B-ORG O O O O O O O,train
Feyenoord Rotterdam 1 0 1 0 1 1 1,B-ORG I-ORG O O O O O O O,train
Roda JC Kerkrade 1 0 1 0 1 1 1,B-ORG I-ORG I-ORG O O O O O O O,train
Volendam 1 0 1 0 1 1 1,B-ORG O O O O O O O,train
Groningen 1 0 1 0 0 0 1,B-ORG O O O O O O O,train
RKC Waalwijk 2 0 1 1 4 5 1,B-ORG I-ORG O O O O O O O,train
Sparta Rotterdam 2 0 1 1 0 1 1,B-ORG I-ORG O O O O O O O,train
Willem II Tilburg 2 0 1 1 0 1 1,B-ORG I-ORG I-ORG O O O O O O O,train
AZ Alkmaar 1 0 0 1 0 2 0,B-ORG I-ORG O O O O O O O,train
NEC Nijmegen 1 0 0 1 1 4 0,B-ORG I-ORG O O O O O O O,train
SOCCER - SUMMARIES OF GERMAN FIRST DIVISION MATCHES .,O O O O B-MISC O O O O,train
BONN 1996-08-24,B-LOC O,train
Summaries of German first division,O O B-MISC O O,train
matches played on Saturday :,O O O O O,train
Bochum 1 ( Jack 66th minute ) Arminia Bielefeld 1 ( Molata 59th ) .,B-ORG O O B-PER O O O B-ORG I-ORG O O B-PER O O O,train
Halftime 0-0 .,O O O,train
"Attendance 25,000",O O,train
Borussia Moenchengladbach 1 ( Andersson 22nd ) Karlsruhe 3,B-ORG I-ORG O O B-PER O O B-ORG O,train
"( Haessler 33rd , Dundee 45th , Keller 90th ) .",O B-PER O O B-PER O O B-PER O O O,train
1-2 .,O O,train
"20,000",O,train
"Stuttgart 2 ( Balakow 50th , Bobic 61st ) Werder Bremen 1 ( Votava",B-ORG O O B-PER O O B-PER O O B-ORG I-ORG O O B-PER,train
68th ) .,O O O,train
0-0 .,O O,train
"32,000",O,train
1860 Munich 1 ( Schwabl 38th ) Borussia Dortmund 3 ( Zorc,B-ORG I-ORG O O B-PER O O B-ORG I-ORG O O B-PER,train
"59th-pen , Moeller 73rd , Heinrich 90th ) .",O O B-PER O O B-PER O O O,train
1-0 .,O O,train
"50,000",O,train
Bayer Leverkusen 0 Fortuna Duesseldorf 1 ( Seeliger 47th ) .,B-ORG I-ORG O B-ORG I-ORG O O B-PER O O O,train
0-0 .,O O,train
"18,000",O,train
"Freiburg 1 ( Zeyer 52nd ) Cologne 3 ( Gaissmayer 9th , Polster",B-ORG O O B-PER O O B-ORG O O B-PER O O B-PER,train
"86th , 90th ) .",O O O O O,train
0-1 .,O O,train
"22,500",O,train
SOCCER - RESULTS OF GERMAN FIRST DIVISION MATCHES .,O O O O B-MISC O O O O,train
BONN 1996-08-24,B-LOC O,train
Results of German first division,O O B-MISC O O,train
soccer matches played on Saturday :,O O O O O O,train
Bochum 1 Arminia Bielefeld 1,B-ORG O B-ORG I-ORG O,train
Borussia Moenchengladbach 1 Karlsruhe 3,B-ORG I-ORG O B-ORG O,train
Stuttgart 2 Werder Bremen 1,B-ORG O B-ORG I-ORG O,train
1860 Munich 1 Borussia Dortmund 3,B-ORG I-ORG O B-ORG I-ORG O,train
Bayer Leverkusen 0 Fortuna Duesseldorf 1,B-ORG I-ORG O B-ORG I-ORG O,train
Freiburg 1 Cologne 3,B-ORG O B-ORG O,train
Played on Saturday :,O O O O,train
St Pauli 4 Schalke 4,B-ORG I-ORG O B-ORG O,train
Hansa Rostock 0 Hamburg 1,B-ORG I-ORG O B-ORG O,train
Bundesliga standings after Saturday 's games ( tabulate under,B-MISC O O O O O O O O,train
"played , won , drawn , lost , goals for , goals against , points ) :",O O O O O O O O O O O O O O O O O,train
Cologne 3 3 0 0 7 1 9,B-ORG O O O O O O O,train
VfB Stuttgart 2 2 0 0 6 1 6,B-ORG I-ORG O O O O O O O,train
Borussia Dortmund 3 2 0 1 9 5 6,B-ORG I-ORG O O O O O O O,train
Hamburg 3 2 0 1 7 3 6,B-ORG O O O O O O O,train
Bayer Leverkusen 3 2 0 1 7 4 6,B-ORG I-ORG O O O O O O O,train
VfL Bochum 3 1 2 0 3 2 5,B-ORG I-ORG O O O O O O O,train
Karlsruhe 2 1 1 0 5 3 4,B-ORG O O O O O O O,train
Bayern Munich 2 1 1 0 3 2 4,B-ORG I-ORG O O O O O O O,train
St Pauli 3 1 1 1 7 7 4,B-ORG I-ORG O O O O O O O,train
1860 Munich 3 1 0 2 3 5 3,B-ORG I-ORG O O O O O O O,train
Freiburg 3 1 0 2 5 10 3,B-ORG O O O O O O O,train
Fortuna Duesseldorf 3 1 0 2 1 7 3,B-ORG I-ORG O O O O O O O,train
Hansa Rostock 3 0 2 1 3 4 2,B-ORG I-ORG O O O O O O O,train
Arminia Bielefeld 3 0 2 1 2 3 2,B-ORG I-ORG O O O O O O O,train
Borussia Moenchengladbach 3 0 2 1 1 3 2,B-ORG I-ORG O O O O O O O,train
Schalke 3 0 2 1 4 8 2,B-ORG O O O O O O O,train
Werder Bremen 3 0 1 2 4 6 1,B-ORG I-ORG O O O O O O O,train
MSV Duisburg 2 0 0 2 1 4 0,B-ORG I-ORG O O O O O O O,train
SOCCER - AUSTRIA FIRST DIVISION RESULTS / STANDINGS .,O O B-LOC O O O O O O,train
VIENNA 1996-08-24,B-LOC O,train
Results of Austria first division,O O B-LOC O O,train
soccer matches played on Saturday :,O O O O O O,train
Rapid Vienna 0 FC Linz 0,B-ORG I-ORG O B-ORG I-ORG O,train
GAK 2 Austria Vienna 2,B-ORG O B-ORG I-ORG O,train
Admira / Wacker 0 Sturm Graz 3,B-ORG I-ORG I-ORG O B-ORG I-ORG O,train
Linzer ASK 1 FC Tirol Innsbruck 3,B-ORG I-ORG O B-ORG I-ORG I-ORG O,train
"Standings ( tabulated under played , won , drawn , lost , goals",O O O O O O O O O O O O O,train
"for , against , points ) :",O O O O O O O,train
FC Tirol Innsbruck 6 4 2 0 13 5 14,B-ORG I-ORG I-ORG O O O O O O O,train
Austria Vienna 6 4 2 0 9 5 14,B-ORG I-ORG O O O O O O O,train
SV Salzburg 5 3 2 0 4 1 11,B-ORG I-ORG O O O O O O O,train
Sturm Graz 6 2 3 1 8 5 9,B-ORG I-ORG O O O O O O O,train
GAK 6 1 3 2 8 10 6,B-ORG O O O O O O O,train
Rapid Wien 5 0 5 0 3 3 5,B-ORG I-ORG O O O O O O O,train
SV Ried 5 1 1 3 6 5 4,B-ORG I-ORG O O O O O O O,train
Linzer ASK 5 0 3 2 4 8 3,B-ORG I-ORG O O O O O O O,train
Admira / Wacker 6 0 3 3 5 10 3,B-ORG I-ORG I-ORG O O O O O O O,train
FC Linz 6 0 2 4 1 9 2,B-ORG I-ORG O O O O O O O,train
CRICKET - RAIN BRINGS PREMATURE END TO SRI LANKA MATCH .,O O O O O O O B-LOC I-LOC O O,train
COLOMBO 1996-08-24,B-LOC O,train
The one-day match between Sri Lanka and a World XI was abandoned on Saturday because of rain .,O O O O B-LOC I-LOC O O B-ORG I-ORG O O O O O O O O,train
"Scores : World XI 102-0 ( M. Waugh 39 not out , S. Tendulkar 56 not out ) off 21.4 overs v Sri Lanka .",O O B-ORG I-ORG O O B-PER I-PER O O O O B-PER I-PER O O O O O O O O B-LOC I-LOC O,train
British hostage in Chechnya describes ordeal .,B-MISC O O B-LOC O O O,train
LONDON 1996-08-24,B-LOC O,train
"A British aid worker , held hostage in Chechnya for nearly four weeks , said on Saturday a cocked Kalashnikov had been thrust into his mouth at one point during his ordeal .",O B-MISC O O O O O O B-LOC O O O O O O O O O O B-MISC O O O O O O O O O O O O O,train
"Michael Penrose , a 23-year-old worker with the group Action Against Hunger , described his ordeal to a news conference when he arrived back in Britain from Moscow .",B-PER I-PER O O O O O O O B-ORG I-ORG I-ORG O O O O O O O O O O O O O B-LOC O B-LOC O,train
""" The worst period of physical manhandling was during that time when we were beaten with Kalashnikovs and at one point I had a Kalashnikov held to the back of my throat -- cocked , "" he said .",O O O O O O O O O O O O O O O O B-MISC O O O O O O O B-MISC O O O O O O O O O O O O O O,train
""" For the first period we were held in a small room with no bed or anything .",O O O O O O O O O O O O O O O O O O,train
"We had very little food and sometimes went two or three days without eating . """,O O O O O O O O O O O O O O O O,train
"Gunmen seized Penrose , who comes from Swerford in southern England , Frenchman Frederic Malardeau and six other hostages from their car in Grozny , the capital of Chechnya , on July 27 .",O O B-PER O O O O B-LOC O O B-LOC O B-MISC B-PER I-PER O O O O O O O O B-LOC O O O O B-LOC O O O O O,train
"The assailants had demanded a ransom of 300,000 pounds ( $ 465,000 ) but no money was paid by the charity when they were released on Wednesday .",O O O O O O O O O O O O O O O O O O O O O O O O O O O O,train
The hostages were held in a house in or near Grozny which was bombarded regularly .,O O O O O O O O O O B-LOC O O O O O,train
""" During the last 15 days of being held , the fighting in Grozny was very close .",O O O O O O O O O O O O O B-LOC O O O O,train
"At first it was street fighting outside the house and then we came under very heavy shelling and bombardment from conventional weapons like tanks , artillery and grenade launchers , "" he said .",O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O,train
Penrose had been working for the charity which provides food to civilians for only a few weeks before he was captured .,B-PER O O O O O O O O O O O O O O O O O O O O O,train
"When asked if he would return to the mountainous region where rebels have been fighting Russian troops for full independence , Penrose said : "" Not for the time being .",O O O O O O O O O O O O O O O B-MISC O O O O O B-PER O O O O O O O O O,train
I do n't think it 's safe for me .,O O O O O O O O O O,train
"But maybe in the future , depending on the circumstances . """,O O O O O O O O O O O O,train
Princess Diana send message to Mother Teresa .,O B-PER O O O B-PER I-PER O,train
LONDON 1996-08-24,B-LOC O,train
"Britain 's Princess Diana has sent a message to seriously ill Mother Teresa , the nun to whom she has turned several times for spiritual guidance .",B-LOC O O B-PER O O O O O O O B-PER I-PER O O O O O O O O O O O O O O,train
Diana 's office said on Saturday the princess had sent a message to the Nobel Peace Prize-winning missionary as news broke this week of her battle against heart problems and malaria .,B-PER O O O O O O O O O O O O O B-MISC I-MISC I-MISC O O O O O O O O O O O O O O O,train
A spokeswoman declined to release details of the message .,O O O O O O O O O O,train
Diana first met the Albanian-born missionary in Rome in 1992 .,B-PER O O O B-MISC O O B-LOC O O O,train
"She said afterwards that the meeting had fulfilled her "" dearest wish "" and the two women have met several times since .",O O O O O O O O O O O O O O O O O O O O O O O,train
"The princess , who has carved out a major role for herself as a helper of the sick and needy , is said to have turned to Mother Teresa for guidance as her marriage crumbled to heir to the British throne Prince Charles .",O O O O O O O O O O O O O O O O O O O O O O O O O O O B-PER I-PER O O O O O O O O O O B-MISC O B-PER I-PER O,train
"The 85-year-old nun said in the past that she was praying for the couple , whose divorce is expected to become final next week .",O O O O O O O O O O O O O O O O O O O O O O O O O,train
Doctors caring for Mother Teresa in a Calcutta hospital said on Saturday that her fever had fallen and her malaria was under control but she remained on a respirator in intensive care .,O O O B-PER I-PER O O B-LOC O O O O O O O O O O O O O O O O O O O O O O O O O,train
CRICKET - PAKISTAN 339-4 V ENGLAND - close .,O O B-LOC O O B-LOC O O O,train
Saeed Anwar c Croft b Cork 176,B-PER I-PER O B-PER O B-PER O,train
Aamir Sohail c Cork b Croft 46,B-PER I-PER O B-PER O B-PER O,train
Ijaz Ahmed c Stewart b Mullally 61,B-PER I-PER O B-PER O B-PER O,train
Inzamam-ul-Haq c Hussain b Mullally 35,B-PER O B-PER O B-PER O,train
Salim Malik not out 2,B-PER I-PER O O O,train
Asif Mujtaba not out 1,B-PER I-PER O O O,train
Extras 18,O O,train
Fall of wicket - 1-106 2-239 3-334 4-334,O O O O O O O O,train
"To bat - Wasim Akram , Moin Khan , Mushtaq Ahmed , Waqar Younis , Mohammad Akam",O O O B-PER I-PER O B-PER I-PER O B-PER I-PER O B-PER I-PER O B-PER I-PER,train
England 326 all out,B-LOC O O O,train
Soccer - Nijmeh beat Nasr 1-0 .,O O B-ORG O B-ORG O O,train
"TRIPOLI , Lebanon 1996-08-24",B-LOC O B-LOC O,train
Nijmeh of Lebanon beat Nasr of Saudi Arabia 1-0 ( halftime 1-0 ) in their Asian club championship second round first leg tie on Saturday .,B-ORG O B-LOC O B-ORG O B-LOC I-LOC O O O O O O O B-MISC O O O O O O O O O O,train
Scorer : Issa Alloush ( 45th minute ) .,O O B-PER I-PER O O O O O,train
"Attendance : 10,000 .",O O O O,train
Adventurers start Canadian wilderness race .,O O B-MISC O O O,train
"PEMBERTON , British Columbia 1996-08-24",B-LOC O B-LOC I-LOC O,train
"About 350 adventurers from nine countries set out on Saturday to climb , raft , bike and run in a 323-mile ( 517-km ) endurance race through the Canadian wilderness .",O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-MISC O O,train
"The event , called the Eco-Challenge , is part of a growing sport known as adventure racing in which competitors test their limits for days over a perilous wilderness course .",O O O O O B-MISC O O O O O O O O O O O O O O O O O O O O O O O O O,train
""" I 'm looking forward to this race .",O O O O O O O O O,train
"I think it will be more physically challenging and we 'll have to go up against more diverse situations due to the terrain , "" said Dr. Michael Stroud , a veteran Eco-Challenge participant .",O O O O O O O O O O O O O O O O O O O O O O O O O O O B-PER I-PER O O O B-MISC O O,train
The Eco-Challenge has been staged twice before -- in Utah and Maine last year -- and is modelled on similar races overseas .,O B-MISC O O O O O O O B-LOC O B-LOC O O O O O O O O O O O,train
"The 70 teams in this year 's race will will trek glaciers , climb mountains , whitewater raft , horseback ride , canoe and mountain bike along the grueling course .",O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O,train
"This year 's race , the route of which was keep a secret until Friday evening , is being held near Pemberton , British Columbia , about 100 miles ( 160 km ) northeast of Vancouver .",O O O O O O O O O O O O O O O O O O O O O B-LOC O B-LOC I-LOC O O O O O O O O O O B-LOC O,train
"The area is filled with treacherous mountain peaks , ice fields and frigid waters .",O O O O O O O O O O O O O O O,train
Organisers expect about two-thirds of the participants to drop out or be disqualified before the finish .,O O O O O O O O O O O O O O O O O,train
"The hardy ones are expected to complete the course in about six days , with first-place finishers receiving $ 10,000 in prize money .",O O O O O O O O O O O O O O O O O O O O O O O O,train
"In the Eco-Challenge , competitors race in teams of five which must include both men and women .",O O B-MISC O O O O O O O O O O O O O O O,train
Team members must remain within 100 yards ( metres ) of each other at all times and finish together .,O O O O O O O O O O O O O O O O O O O O,train
"With racers carrying about 40 pounds ( 18 kg ) of gear on their backs , broken bones , sunstroke , dehydration and exhaustion are common .",O O O O O O O O O O O O O O O O O O O O O O O O O O O,train
Cholera kills 21 in southern Nigeria .,O O O O O B-LOC O,train
LAGOS 1996-05-28,B-LOC O,train
"An outbreak of cholera has killed 21 people in a week at Ubimini in oil-rich southern Nigeria , the News Agency of Nigeria reported on Saturday .",O O O O O O O O O O O O B-LOC O O O B-LOC O O B-ORG I-ORG I-ORG I-ORG O O O O,train
"The chairman of the local council , Damian Ejiohuo , said drugs had been rushed to the area to quell the disease and the community needed a safer source of drinking water to prevent future outbreaks .",O O O O O O O B-PER I-PER O O O O O O O O O O O O O O O O O O O O O O O O O O O O,train
Epidemics are common in rural areas of Nigeria where piped water is not usually available .,O O O O O O O B-LOC O O O O O O O O,train
Malawi 's ex-president Banda says he 's feeling well .,B-LOC O O B-PER O O O O O O,train
BLANTYRE 1996-08-24,B-LOC O,train
"Malawi 's frail former president , Kamuzu Banda , said on Saturday in a rare public interview that he was feeling well despite his advanced years .",B-LOC O O O O O B-PER I-PER O O O O O O O O O O O O O O O O O O O,train
""" I feel all right and I eat everything that is put on the table .",O O O O O O O O O O O O O O O O,train
"And that means I am all right , "" he told reporters invited to his home .",O O O O O O O O O O O O O O O O O,train
"Banda , a vegetarian teetotaller believed to be 97 , walked unaided but supporting himself on a walking stick .",B-PER O O O O O O O O O O O O O O O O O O O,train
He clutched a fly whisk which for a long time symbolised his obsession with power .,O O O O O O O O O O O O O O O O,train
His health was the subject of much recent speculation .,O O O O O O O O O O,train
"Malawi 's undisputed ruler for three decades , he lost power in the first all-party elections in 1994 .",B-LOC O O O O O O O O O O O O O O O O O O,train
He spent a year under house arrest and was tried but acquitted last year on charges of ordering the murder of four opponents in 1983 .,O O O O O O O O O O O O O O O O O O O O O O O O O O,train
Zimbabwe fires striking civil servants .,B-LOC O O O O O,train
Emelia Sithole,B-PER I-PER,train
HARARE 1996-08-24,B-LOC O,train
The Zimbabwean government fired thousands of workers on Saturday for defying an order to end a strike which has crippled essential services and disrupted international and domestic flights .,O B-MISC O O O O O O O O O O O O O O O O O O O O O O O O O O O,train
